,date,close,high,low,open,volume,tic,day
42,2019-03-06,25673.5,25837.599609375,25633.69921875,25818.80078125,211290705,dji,2
43,2019-03-07,25468.099609375,25645.400390625,25352.599609375,25645.400390625,232731434,dji,3
44,2019-03-08,25450.099609375,25466.099609375,25252.5,25347.400390625,232856385,dji,4
45,2019-03-11,25650.900390625,25661.599609375,25208.0,25208.0,261117595,dji,0
46,2019-03-12,25554.69921875,25675.400390625,25522.19921875,25600.30078125,265828192,dji,1
47,2019-03-13,25702.900390625,25776.5,25571.30078125,25637.19921875,272911905,dji,2
48,2019-03-14,25709.900390625,25752.80078125,25621.30078125,25692.30078125,238895236,dji,3
49,2019-03-15,25848.900390625,25927.900390625,25649.69921875,25721.0,357899700,dji,4
50,2019-03-18,25914.099609375,25914.099609375,25914.099609375,25914.099609375,0,dji,0
51,2019-03-19,25887.400390625,25887.400390625,25887.400390625,25887.400390625,0,dji,1
52,2019-03-20,25745.69921875,25745.69921875,25745.69921875,25745.69921875,0,dji,2
53,2019-03-21,25962.5,25962.5,25962.5,25962.5,0,dji,3
54,2019-03-22,25502.30078125,25502.30078125,25502.30078125,25502.30078125,0,dji,4
55,2019-03-25,25516.80078125,25516.80078125,25516.80078125,25516.80078125,0,dji,0
56,2019-03-26,25657.69921875,25657.69921875,25657.69921875,25657.69921875,0,dji,1
57,2019-03-27,25625.599609375,25625.599609375,25625.599609375,25625.599609375,0,dji,2
58,2019-03-29,25928.69921875,25928.69921875,25928.69921875,25928.69921875,0,dji,4
59,2019-04-01,26258.400390625,26258.400390625,26258.400390625,26258.400390625,0,dji,0
60,2019-04-03,26218.099609375,26218.099609375,26218.099609375,26218.099609375,0,dji,2
61,2019-04-04,26384.599609375,26384.599609375,26384.599609375,26384.599609375,0,dji,3
62,2019-04-05,26425.0,26425.0,26425.0,26425.0,0,dji,4
63,2019-04-08,26341.0,26341.0,26341.0,26341.0,0,dji,0
64,2019-04-09,26150.599609375,26150.599609375,26150.599609375,26150.599609375,0,dji,1
65,2019-04-10,26157.19921875,26157.19921875,26157.19921875,26157.19921875,0,dji,2
66,2019-04-11,26143.099609375,26143.099609375,26143.099609375,26143.099609375,0,dji,3
67,2019-04-12,26412.30078125,26412.30078125,26412.30078125,26412.30078125,0,dji,4
68,2019-04-15,26384.80078125,26384.80078125,26384.80078125,26384.80078125,0,dji,0
69,2019-04-16,26452.69921875,26452.69921875,26452.69921875,26452.69921875,0,dji,1
70,2019-04-17,26449.5,26449.5,26449.5,26449.5,0,dji,2
71,2019-04-18,26559.5,26559.5,26559.5,26559.5,0,dji,3
72,2019-04-22,26511.099609375,26511.099609375,26511.099609375,26511.099609375,0,dji,0
73,2019-04-23,26656.400390625,26656.400390625,26656.400390625,26656.400390625,0,dji,1
74,2019-04-24,26597.0,26597.0,26597.0,26597.0,0,dji,2
75,2019-04-25,26462.099609375,26462.099609375,26462.099609375,26462.099609375,0,dji,3
76,2019-04-26,26543.30078125,26543.30078125,26543.30078125,26543.30078125,0,dji,4
77,2019-04-29,26554.400390625,26554.400390625,26554.400390625,26554.400390625,0,dji,0
78,2019-04-30,26592.900390625,26592.900390625,26592.900390625,26592.900390625,0,dji,1
79,2019-05-01,26430.099609375,26430.099609375,26430.099609375,26430.099609375,0,dji,2
80,2019-05-03,26504.900390625,26504.900390625,26504.900390625,26504.900390625,0,dji,4
81,2019-05-06,26438.5,26438.5,26438.5,26438.5,0,dji,0
82,2019-05-07,25965.099609375,25965.099609375,25965.099609375,25965.099609375,0,dji,1
83,2019-05-08,25967.30078125,25967.30078125,25967.30078125,25967.30078125,0,dji,2
84,2019-05-09,25828.400390625,25828.400390625,25828.400390625,25828.400390625,0,dji,3
85,2019-05-10,25942.400390625,25942.400390625,25942.400390625,25942.400390625,0,dji,4
86,2019-05-13,25325.0,25325.0,25325.0,25325.0,0,dji,0
87,2019-05-14,25532.0,25532.0,25532.0,25532.0,0,dji,1
88,2019-05-15,25648.0,25648.0,25648.0,25648.0,0,dji,2
89,2019-05-16,25862.69921875,25862.69921875,25862.69921875,25862.69921875,0,dji,3
90,2019-05-17,25764.0,25764.0,25764.0,25764.0,0,dji,4
91,2019-05-20,25679.900390625,25679.900390625,25679.900390625,25679.900390625,0,dji,0
92,2019-05-21,25877.30078125,25877.30078125,25877.30078125,25877.30078125,0,dji,1
93,2019-05-22,25776.599609375,25776.599609375,25776.599609375,25776.599609375,0,dji,2
94,2019-05-23,25490.5,25490.5,25490.5,25490.5,0,dji,3
95,2019-05-24,25585.69921875,25585.69921875,25585.69921875,25585.69921875,0,dji,4
96,2019-05-28,25347.80078125,25347.80078125,25347.80078125,25347.80078125,0,dji,1
97,2019-05-29,25126.400390625,25126.400390625,25126.400390625,25126.400390625,0,dji,2
98,2019-05-30,25169.900390625,25169.900390625,25169.900390625,25169.900390625,0,dji,3
99,2019-05-31,24815.0,24815.0,24815.0,24815.0,0,dji,4
100,2019-06-03,24819.80078125,24819.80078125,24819.80078125,24819.80078125,0,dji,0
101,2019-06-04,25332.19921875,25332.19921875,25332.19921875,25332.19921875,0,dji,1
102,2019-06-05,25539.599609375,25539.599609375,25539.599609375,25539.599609375,0,dji,2
103,2019-06-07,25983.900390625,25983.900390625,25983.900390625,25983.900390625,0,dji,4
