,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2019-01-02,AAPL,37.66718292236328,39.712501525878906,38.557498931884766,38.72249984741211,148158800.0,2.0,-1.9730021110308016,43.537108363156406,34.673341618533044,37.867352961158424,-91.62597869632788,42.25080813045024,40.32867596944173,45.47663548787435,23.219999313354492,43.7298432237973
0,2019-01-02,AMGN,158.58639526367188,193.1999969482422,188.9499969482422,192.52000427246094,3009100.0,2.0,-1.178364571015038,168.53803469302167,147.90337613461506,49.24151576843116,-31.25108483416364,4.8991225876700355,159.8662073771159,160.02542012532552,23.219999313354492,43.7298432237973
0,2019-01-02,AXP,87.53449249267578,96.2699966430664,93.7699966430664,93.91000366210938,4175400.0,2.0,-3.237079894598537,104.5239186427792,80.0514361240665,41.205004614605734,-97.88791867091136,26.709416907858223,94.83543116251627,95.3744405110677,23.219999313354492,43.7298432237973
0,2019-01-02,BA,314.6451721191406,323.95001220703125,313.7099914550781,316.19000244140625,3292200.0,2.0,-5.5505877710702975,339.11638494300973,287.2520141048418,47.010006362127605,-21.712311500503922,13.6119717352264,314.4271616617838,331.9561513264974,23.219999313354492,43.7298432237973
0,2019-01-02,CAT,109.19268798828125,127.87999725341797,123.0,124.02999877929688,4783200.0,2.0,-0.6285642378521175,115.67063535437582,100.76123949303629,48.22908009658778,-5.587654993553663,0.8734820911322481,108.73362096150716,110.76137797037761,23.219999313354492,43.7298432237973
0,2019-01-02,CRM,134.5856170654297,136.8300018310547,133.0500030517578,133.39999389648438,4783900.0,2.0,-0.6357250779762751,145.52403842548077,121.8848551597243,49.474091704885225,24.29823136685284,1.770999301992759,132.05940068562825,135.20370394388834,23.219999313354492,43.7298432237973
0,2019-01-02,CSCO,35.26565933227539,43.20000076293945,42.209999084472656,42.279998779296875,23833500.0,2.0,-0.838420175272482,40.8949936105157,32.676785640582935,44.8725697220042,-87.85681023381746,29.52937670833384,37.119662348429365,37.36311442057292,23.219999313354492,43.7298432237973
0,2019-01-02,CVX,84.2315902709961,111.68000030517578,107.0999984741211,107.33999633789062,6384800.0,2.0,-1.6222803189892545,92.53088335463634,77.17648282578357,46.469164280389954,-59.54748079128477,12.4021895011164,86.29432169596355,87.21452827453614,23.219999313354492,43.7298432237973
0,2019-01-02,DIS,106.34064483642578,109.13999938964844,107.7300033569336,108.0999984741211,9723500.0,2.0,-1.6317557725849667,114.0043954688347,100.00801297843091,47.045440306489006,-60.300633890076995,13.997383580478868,108.23971252441406,110.06085446675618,23.219999313354492,43.7298432237973
0,2019-01-02,GS,148.40371704101562,172.25,163.35000610351562,164.3300018310547,3999400.0,2.0,-7.32867032691712,163.93003216579206,133.23457049534073,38.916534634946174,-62.682162820087264,15.405786122881196,154.81070149739583,171.68846995035807,23.219999313354492,43.7298432237973
0,2019-01-02,HD,147.84881591796875,173.17999267578125,169.0500030517578,169.7100067138672,4242900.0,2.0,-1.632957903611981,155.38330298852006,137.16371391821824,46.55998042662486,-0.09566011789280564,2.341714551865294,146.88491770426432,151.7113479614258,23.219999313354492,43.7298432237973
0,2019-01-02,HON,115.88336181640625,132.08999633789062,129.5,130.19000244140625,2756000.0,2.0,-3.211744541865329,128.58648699018894,109.09177381303371,39.96015716912847,-89.22936185248516,39.96166107874755,121.72251764933269,125.85930658976237,23.219999313354492,43.7298432237973
0,2019-01-02,IBM,82.7400894165039,110.8795394897461,106.77820587158203,107.0841293334961,4434935.0,2.0,-1.8382704089690094,90.91981921189316,77.25782742506973,42.65564717436634,-76.965104491516,19.74642999847817,84.86204884847005,88.25824317932128,23.219999313354492,43.7298432237973
